Themes + Assets;Rank;Year;Consensus Thesis;Tesis Ex Post
WAR;20;2023;The ongoing Russia-Ukraine conflict continues to shape global markets in 2023, underpinning elevated energy prices with Brent crude expected to average $100 per barrel and potentially spike to $110 in H2. Europe faces a mild recession, with growth forecast between 0% and 0.5%, driven by energy shocks and tighter monetary policy, while the US is likely to enter a recession by mid-year but with relatively stronger growth. Inflation pressures are expected to ease as supply disruptions normalize, yet risks remain from prolonged conflict, energy market volatility, and geopolitical tensions. Investors should consider exposure to energy transition, food security, and commodity-linked currencies, while monitoring developments in Ukraine and China’s reopening for potential market inflection points.;
CONSUMERS;21;2023;The 2023 consumer outlook is cautiously optimistic, anchored by a robust labor market with unemployment expected to rise modestly but remain well below 2008 and 2020 levels. S&P 500 earnings growth is projected around 5%, supported by stable household incomes and resilient consumer spending, particularly in services. The Federal Reserve is anticipated to peak rates near 5% by March, with no cuts before Q4, reflecting risks of sustained inflation and resilient demand. While a mild recession is possible, the combination of healthy household balance sheets and improving external conditions in Europe and China should mitigate downside risks. Investors should position for moderate growth with potential volatility driven by inflation dynamics and policy shifts.;
LIQUIDITY;22;2023;In 2023, liquidity conditions remain strained amid elevated rate volatility, with central banks maintaining higher policy rates around 4-5% to combat sticky inflation near 3%. We expect high-yield defaults to rise modestly toward long-term averages of 3-4%, favoring high-quality credit and issuers with strong balance sheets. The US dollar’s strength may peak as rate differentials narrow, potentially easing liquidity pressures globally in the latter half of the year. However, risks include a possible liquidity shock from leveraged position unwind and policy conflicts that could exacerbate market stress. Investors should consider selective exposure to alternative assets and high-quality bonds, while preparing for episodic volatility and opportunities arising from market dislocations.;
RESHORING;23;2023;Reshoring and deglobalization are expected to sustain capital expenditure growth of 3-5% annually in sectors like construction, engineering, and transportation over the next 3-5 years, supported by strong labor markets and geopolitical tensions. US large-cap firms and infrastructure-related companies stand to benefit as supply chain restructuring accelerates. Inflationary pressures, likely moderating gradually from current levels near 6%, may persist due to structural factors including decarbonization and high debt. Key risks include a potential recession that could compress earnings by 10-15% and slower-than-expected Chinese economic recovery. Investors should consider thematic exposure to industrials and raw materials while monitoring inflation and geopolitical developments.;
ENERGY;24;2023;In 2023, energy markets will remain tight with Brent crude averaging $90-$110 per barrel, supported by ongoing geopolitical tensions and constrained supply. Europe faces a mild recession, with GDP growth near 0%-0.5%, driven by high energy costs and inflation persisting above central bank targets. The US is expected to avoid recession in the near term, but growth will slow, contributing to a global slowdown into 2024. Inflation is forecast to decline gradually but remain elevated, requiring restrictive monetary policy through mid-year. Key risks include prolonged conflict in Ukraine, uncertain Chinese demand recovery, and potential supply disruptions. Investors should focus on energy transition sectors, infrastructure, and select energy equities to navigate volatility and capture structural growth opportunities.;
HEDGING;25;2023;In 2023, investors should adopt a diversified hedging approach amid persistent inflation and tightening monetary policy. Bonds, with yields rising to levels not seen in 15 years (e.g., 10-year yields near 4%), offer attractive valuations and potential downside protection, especially if a recession with a 20-30% probability materializes. However, traditional long-term government bonds may underperform as inflation remains elevated around 3-4%, reducing their diversification benefits. Alternatives such as global macro hedge funds and commodities, including gold and select real assets, provide uncorrelated buffers against geopolitical and inflation risks. Currency hedges like the Japanese yen and Swiss franc also warrant consideration. Key risks include continued central bank hikes and uncertain growth trajectories, underscoring the need for selective, multi-asset hedging strategies.;
DISINFLATION;26;2023;The consensus for 2023 anticipates a disinflationary environment driven by a global growth slowdown and elevated recession risks, with US real GDP growth likely below 0.8% and unemployment rising toward 5%. Inflation is expected to ease toward 1.8% by 2024, supporting a decline in US 10-year yields by approximately 150 basis points to near 2.65%. Central banks, particularly the Fed and ECB, may pivot from tightening to easing in the second half, with policy rates potentially falling below 4.6%. Equities face modest returns amid margin pressures, favoring quality and growth sectors, while fixed income, especially high-quality sovereign bonds, offers more attractive total returns. Key risks include inflation remaining above 2.8%, which could pressure valuations and increase volatility.;Disinflation was a major theme, but it occurred alongside strong growth (US GDP +2.5%) rather than a slowdown (<0.8%). The 10-year yield peaked at 5.0% before falling to 3.88%, not the 2.65% projection. The Fed pivot occurred in December with rates at 5.25-5.50%. High-quality sovereign bonds offered strong total returns in Q4, but equities (S&P 500 +26%) far outperformed fixed income as margins remained resilient.
COVID;27;2023;In 2023, global growth is expected to slow to around 1.7%-2.1%, reflecting a mixed recovery from the Covid-19 pandemic. China’s gradual reopening, with a forecasted 4% growth, will be a key driver, though initial disruptions and property market challenges pose risks. Developed economies face stagnation or mild recessions, with Europe particularly vulnerable amid energy constraints. Inflation is projected to ease but remain above target, around 3% core CPI in the US. Key uncertainties include the pace and efficacy of China’s reopening and geopolitical tensions impacting energy and supply chains. Investors should consider exposure to emerging markets benefiting from reopening, energy transition themes, and commodity-linked currencies, while remaining cautious on highly valued US equities.;
STAGFLATION;28;2023;The global economy is poised for a stagflationary environment in 2023, with growth contracting by 0.5%-1% in Europe and the US, while China’s expansion slows to around 3%. Inflation is expected to ease gradually, remaining elevated near 4%-5%, challenging central banks’ resolve. The ECB and BOE may pivot sooner due to growth concerns, whereas the Fed’s tightening cycle is likely to persist longer, keeping policy rates above 4%. Commodity-driven inflation risks remain elevated given ongoing disruptions in energy markets, particularly from Russia’s absence. Investors should favor defensive sectors and quality assets, with a cautious overweight in credit and bonds, balancing yield opportunities against macro uncertainties and potential policy shifts.;The stagflation scenario was avoided as growth remained positive (US +2.5%, China +5.2%) and inflation moderated to 3.4%. The Fed's tightening cycle persisted until July, reaching 5.25-5.50%. Energy market disruptions were managed, and the absence of Russian gas did not cause the expected European collapse. Quality assets and tech outperformed significantly, while defensive sectors lagged as the 'growth' part of stagflation proved much stronger than feared.
UNEMPLOYMENT;29;2023;The consensus anticipates a moderate increase in unemployment across major developed markets in 2023, with the US rate expected to peak around 5-5.5% by early 2024. This rise reflects a mild recessionary environment driven by central banks' commitment to disinflation, with inflation easing gradually toward 2-3%. While labor markets will soften, the downturn is expected to be less severe than prior recessions, supporting relatively stable household incomes and consumer spending. Key risks include a deeper-than-expected recession or persistent inflation, which could prolong tightening cycles and elevate unemployment further. Investors should position for a gradual shift toward easier monetary policy by mid-2024, favoring high-quality sovereign bonds and cautious equity exposure amid ongoing volatility.;
ESG;30;2023;In 2023, ESG investment themes remain resilient amid geopolitical and economic shifts, supported by a projected 10-15% recovery in global green bond issuance, driven primarily by Europe's steady issuance and China's growth. Energy transition and food security, alongside reshoring trends linked to US-China decoupling, underpin sustained capital expenditure, even with recession risks estimated at 20-30%. Social factors gain prominence due to inflation pressures and labor market challenges. Greeniums are expected to stabilize or modestly increase by 5-10%, reflecting strong demand outpacing supply. Investors should focus on diversified ESG exposure across energy, social, and geopolitical themes, while monitoring policy shifts and macro uncertainties that could impact issuance and asset valuations.;
RISKS;31;2023;The base case for 2023 anticipates a mild global recession with US GDP contracting around 0.5% to 1.0% and eurozone growth near 0.0% to 0.4%, amid persistent inflation likely moderating to 3-4%. Central banks are expected to maintain elevated policy rates near 4-5%, balancing disinflation efforts against financial stability risks. Key uncertainties include the trajectory of inflation, geopolitical tensions, and the potential for a deeper downturn if tightening proves excessive. Investors should favor fixed income, particularly long-duration US Treasuries and investment-grade credit, while adopting a cautious stance on equities given downside earnings risks and valuation pressures. Diversification into gold and defensive currencies can help mitigate volatility amid ongoing market stress.;The 'mild recession' risk did not materialize as US GDP grew 2.5%. Inflation moderated to 3.4%, better than the 3-4% projection. Geopolitical tensions (Ukraine, Israel-Hamas) caused volatility but did not derail the global economy. The biggest unanticipated 'risk' was the massive upside from AI. Financial stability risks were tested by the SVB collapse but managed by central banks, preventing a hard landing.
INTEREST RATES;32;2023;The consensus anticipates that aggressive rate hikes in 2023 will weigh on global growth, with advanced economies likely entering recession and global GDP growth slowing to around 1.7%. The US is expected to experience near-zero growth, about 1 percentage point below consensus, with recession starting this year. Inflation is projected to decline steadily, potentially 50 basis points below current forecasts, prompting the Fed to hold rates above 4.5% through 2023 before cutting to approximately 1.25% by early 2024. Investors should favor bonds and maintain cash allocations as low-risk assets amid equity market volatility. Key risks include the timing and magnitude of policy pivots and inflation persistence, which could alter growth and asset class performance.;
WAGES;33;2023;In 2023, persistent wage growth in the US, contributing to a wage-price spiral, alongside sustained upstream price pressures in Europe, is expected to keep inflation elevated above central bank targets, with headline inflation averaging around 4-5% in advanced economies. The Federal Reserve is likely to maintain a hawkish stance, potentially raising rates by 50-75 basis points, while the ECB follows closely, tightening financial conditions. This dynamic is projected to erode real incomes by approximately 2-3%, leading to a notable economic slowdown—Europe may enter recession in H1, with the US lagging by one to two quarters. Key risks include faster-than-expected wage moderation or supply chain improvements, which could ease inflation and reduce tightening needs. Investors should consider positioning for increased volatility in fixed income and selective equity sectors sensitive to consumer spending.;
BASE CASE;1;2024;The base case for 2024 anticipates a global economic slowdown with mild recessions likely in developed markets, including a 15-25% probability of a US recession and similar risks in Europe. Inflation is expected to moderate toward 2% by year-end, prompting central banks to begin rate cuts around mid-year, with policy rates easing by 50-75 basis points. Growth may contract by 0.5-1.0% in key economies before stabilizing in the second half. Key risks include geopolitical tensions, policy missteps, and uneven global recoveries, which could heighten volatility. Investors should focus on quality fixed income and select equities, maintaining diversified portfolios to navigate potential dislocations while positioning for eventual stabilization.;In 2024, the global base case exceeded initial expectations of a severe slowdown. Despite fears of a recession in developed markets, the United States economy showed remarkable resilience, driven by solid consumption and a strong labor market. Inflation, although persistent in the first half of the year, began to converge towards the 2% targets in the second half, allowing the Federal Reserve to initiate its rate-cutting cycle in September with an aggressive 50 basis point move. Europe, for its part, avoided a deep recession but maintained anemic growth. Geopolitical risks in the Middle East and Ukraine generated episodic volatility, but did not derail global macroeconomic stability. The year closed with renewed optimism about a soft landing, validating the theses of quality in fixed income and selectivity in equities that had been proposed at the beginning of the period.
SLOWDOWN;2;2024;The global economy is set for a moderate slowdown in 2024, with growth expected to decelerate to around 2.6%-2.8% globally, including 1.0%-1.5% in the US and 0.3%-0.8% in Europe. Inflation is projected to ease but remain above central bank targets through much of the year, prompting cautious but gradual rate cuts starting mid-year, totaling approximately 150-225 basis points in the US and 100 basis points in Europe. Key risks include geopolitical tensions, tighter financial conditions, and potential downside surprises in China and Europe. Investors should favor high-quality fixed income and selective equities with strong fundamentals, balancing income generation with downside protection amid elevated volatility and policy uncertainty.;The global economic slowdown in 2024 was less pronounced than the consensus anticipated. While global growth was expected to be barely 2.1%, the actual figure was close to 2.6%, thanks to the strength of the United States and the gradual recovery in some emerging economies. In Europe, growth was certainly weak, especially in Germany, but systemic collapse was avoided. Inflation proved to be more 'sticky' than initially predicted, which delayed interest rate cuts until well into the second half of the year. Central banks, led by the Fed and the ECB, acted cautiously to avoid reigniting price pressures. Despite restrictive financial conditions, the services sector maintained its dynamism, offsetting the weakness in manufacturing. The year concluded with a global economy that, although slower than in previous years, demonstrated a superior capacity for adaptation in the face of high interest rates and tensions in global supply chains.
RECESSION;3;2024;The consensus base case for 2024 anticipates a mild global recession with a 35-50% probability, primarily affecting developed markets such as the US and Europe. Global GDP growth is expected to slow to approximately 2.4-2.7%, with the US growth forecast near 1%, and Europe facing stagnation or slight contraction. Inflation is projected to gradually decline but remain sticky, delaying aggressive central bank rate cuts until mid to late 2024, with the Fed potentially cutting rates by 75 basis points in the second half. Key risks include geopolitical tensions, policy missteps, and uneven regional recoveries, particularly in China and the UK. Investors should consider defensive sectors, high-quality bonds, and selective emerging markets exposure to navigate elevated volatility and recession uncertainty.;Contrary to forecasts that gave a probability of up to 50% to a recession in 2024, the main developed economies managed to avoid this scenario. The United States surprised with GDP growth that consistently exceeded estimates, warding off the specter of contraction. In the United Kingdom and the Eurozone, although periods of technical stagnation were recorded, the robustness of the labor market prevented a significant drop in consumption. Inflation gradually declined, allowing for monetary relief towards the end of the year that sustained economic activity. Defensive sectors and high-quality bonds, recommended as a refuge against recession, offered solid returns, but it was technology stocks that led the market. In summary, 2024 was the year of the 'soft landing', where restrictive monetary policy managed to cool prices without causing the economic crisis that many analysts feared at the beginning of the year.
RATE CUTS;4;2024;The consensus outlook for 2024 anticipates central banks, led by the Fed and ECB, initiating a measured rate-cutting cycle starting midyear, with cumulative cuts of approximately 100-200 basis points. Inflation is expected to moderate but remain slightly above target, around 2.5-3%, supporting a cautious easing approach. Growth is projected to slow, with mild recessions possible in the US and Europe, but severe downturn risks remain low. Key uncertainties include inflation persistence and geopolitical tensions, which could delay or temper easing. Investors should position for a late-year pivot favoring quality bonds and selective equities, particularly in value and cyclical sectors, while monitoring volatility amid a still elevated rate environment.;The interest rate cutting cycle in 2024 finally materialized, albeit with a later schedule than the market expected at the beginning of the year. The United States Federal Reserve kept rates at two-decade highs until September, when it made an initial 50 basis point cut in the face of signs of cooling in the labor market. The European Central Bank and the Bank of England also began their respective easing cycles, responding to inflation that was approaching the 2% target. In total, the accumulated cuts in the main economies were significant, although central banks emphasized that policy would remain restrictive for some time. This monetary shift boosted both bond markets and growth stocks, which benefited from lower discount rates. The transition to lower rates set the tone for the last quarter, consolidating investor confidence that the peak of tightening was definitively behind them.
HIGH RATES;5;2024;The consensus view for 2024 anticipates a higher-for-longer interest rate environment, with the federal funds rate holding between 4.75% and 5.25% through year-end. Inflation is expected to remain sticky, averaging around 3%, prompting central banks to maintain restrictive policy despite slower growth forecasts near 1.4% GDP expansion. Investors should favor active management, emphasizing quality companies with strong balance sheets and underweight high-yield credit amid tight spreads. Fixed income offers compelling income opportunities, with yields likely to remain rangebound but potentially modestly lower. Key risks include a sharper-than-expected economic slowdown triggering earlier rate cuts or persistent inflation forcing further hikes, underscoring the need for diversified, risk-conscious portfolios.;The 'higher for longer' narrative dominated much of 2024, as underlying inflation showed unexpected resilience during the first six months. Interest rates in the United States remained in the 5.25%-5.50% range for most of the year, defying initial bets on early cuts. This situation tested the resilience of companies with high debt levels, favoring those with strong balance sheets and strong cash generation. 10-year Treasury bond yields fluctuated significantly, reaching peaks that attracted investors looking for secure income. Despite the pressure of financing costs, economic growth did not collapse, which allowed central banks to prioritize price stability. It was not until the last third of the year that evidence of sustainable disinflation allowed for a change in stance. This high-rate environment redefined investment strategies, bringing active management and rigorous selection of quality assets back into the spotlight.
GROWTH;6;2024;The consensus outlook for 2024 anticipates moderate global growth around 2.2% to 2.6%, with developed markets expanding roughly 0.5% to 1.0% and emerging markets growing between 4.0% and 5.0%. The US is expected to grow near 0.5%-1.0%, while China’s growth is forecasted around 4.2%-4.7%, supported by incremental fiscal stimulus. Key risks include persistent inflationary pressures, geopolitical tensions, and structural challenges in China’s property sector. Central banks are likely to maintain a cautious stance with limited rate cuts, reflecting inflation uncertainty. Investors should adopt a diversified, active approach focusing on quality assets and be prepared for volatility as growth gradually recovers in the second half of the year.;Global economic growth in 2024 was a story of regional divergences. While the United States grew above its potential, driven by productivity and public spending, China faced significant structural challenges due to its persistent real estate crisis, closing the year with growth close to 4.8%, slightly below its official target. Emerging economies, led by India, provided the greatest dynamism to global GDP. In Europe, growth was marginal, hampered by high energy costs and the weakness of the manufacturing sector in Germany. Globally, growth stood at around 2.6%, exceeding the initial consensus of analysts. The artificial intelligence revolution began to show its first effects on business efficiency, especially in the technology sector. Despite trade and geopolitical tensions, world trade showed signs of stabilization towards the end of the year, laying the foundations for a more synchronized recovery in 2025.
INFLATION;7;2024;The consensus outlook for 2024 anticipates inflation gradually declining toward central bank targets but remaining slightly elevated, with core inflation around 2.5% to 3% by year-end. Developed market central banks, including the Fed and ECB, are expected to maintain higher-for-longer policy rates, with rate cuts likely commencing mid-year, totaling approximately 100 to 150 basis points by year-end. Growth is forecasted to slow, with mild recession risks particularly in Europe, while the US may avoid a deep downturn. Key uncertainties include geopolitical tensions, sticky core services inflation, and potential energy shocks. Investors should position for a regime of slower growth, moderate inflation, and elevated volatility, favoring inflation-linked bonds, quality equities, and selective real assets as hedges.;Inflation in 2024 followed a gradual but bumpy downward trajectory. After the peaks of previous years, consumer prices in developed economies began the year with worrying persistence, especially in the services and housing sectors. However, the normalization of supply chains and the moderation in energy prices helped reduce overall inflation. In the United States, the CPI was below 3% towards the end of the year, while in the Eurozone disinflation was faster, allowing the ECB to act before the Fed. Central banks maintained a cautious discourse, warning that the last mile of the disinflationary process would be the most difficult. Inflation-linked assets lost some of their attractiveness as a direct hedge, but investors remained vigilant against possible supply shocks derived from geopolitical conflicts. The year closed with the perception that the inflationary problem was under control, although price levels remained structurally higher than in the pre-pandemic decade.
GLOBAL;8;2024;Global growth is expected to moderate in 2024, with consensus forecasts ranging between 1.9% and 2.8%, reflecting a slowdown from 2023's near 3% pace. Developed markets, including the US and Europe, are projected to grow modestly around 0.5%-1.2%, while emerging markets, led by India and China, should expand between 4% and 6%. Inflation is anticipated to ease toward central bank targets, enabling rate cuts of 50-75 basis points in major economies by year-end. Key risks include recession potential in Europe and the UK, China’s property sector challenges, and geopolitical uncertainties. Investors should favor quality dividend-paying equities, value and cyclical sectors in select regions, and maintain exposure to investment-grade bonds amid a likely Fed and ECB pause.;The global economy in 2024 demonstrated unexpected resilience in the face of multiple headwinds. World growth exceeded pessimistic forecasts, standing at 2.6% compared to the 2.1% projected by consensus. This performance was led by the US economy, which avoided recession, and by the dynamism of emerging markets such as India and Southeast Asia. Global inflation continued its downward trend, although at different rates depending on the region, which caused a desynchronization in the monetary policies of the major central banks. International trade was affected by tensions in the Red Sea and increasing geopolitical fragmentation, but trade routes adapted relatively quickly. Global financial markets experienced a year of solid gains, driven by technological optimism and the expectation of a monetary easing cycle. Despite the challenges, 2024 ended as a year of macroeconomic stabilization, where the systemic crisis scenarios that many feared at the beginning of the year were avoided.
US;9;2024;The US economy is expected to slow to around 0.8%-1.2% growth in 2024, avoiding a severe recession but facing headwinds from elevated inflation and tighter financial conditions. The Federal Reserve is likely near the end of its hiking cycle, with rate cuts anticipated in the second half of the year totaling approximately 100-200 basis points, contingent on inflation easing toward 2.5%-3.5%. Equity markets may see modest total returns of 4%-7%, favoring large-cap and quality sectors with exposure to AI and resilient earnings. Key risks include a sharper-than-expected slowdown, political uncertainty from the 2024 elections, and persistent inflation that could delay easing. Investors should maintain a balanced approach emphasizing quality, value, and defensive positioning.;The United States was the great positive surprise of 2024, consolidating itself as the engine of world growth. US GDP grew strongly, driven by a labor market that remained at full employment and private consumption that was not deterred by high interest rates. Inflation, after a temporary rebound in the first quarter, resumed its downward path, allowing the Federal Reserve to make its first rate cut in September. The technology sector, especially companies linked to artificial intelligence, led gains in the stock market, taking the S&P 500 to multiple all-time highs during the year. The presidential elections in November added a layer of political uncertainty, but markets reacted with optimism to expectations of pro-growth policies. The year concluded with an economy that achieved the long-awaited 'soft landing', demonstrating that restrictive monetary policy could coexist with robust economic expansion, challenging traditional economic theories about interest rate hike cycles.
EUROPE;10;2024;Europe is expected to experience a mild recession in 2024, with GDP growth hovering around 0.2% to 0.7%, reflecting stagnation and technical recession signals. The European Central Bank is likely to maintain a tightening bias into mid-year before initiating gradual rate cuts totaling approximately 75-100 basis points by year-end, as inflation moderates toward 2-3%. Equity valuations remain discounted, supporting a cautious but constructive stance, particularly in financials and defensive sectors, with expected mid-single-digit total returns around 4-5%. Key risks include external shocks that could deepen recessionary pressures and slower-than-anticipated inflation deceleration. Investors should favor investment-grade credit and maintain regional diversification to navigate ongoing macro uncertainties.;Europe experienced a year of slow and uneven recovery in 2024. The Eurozone economy was hampered by the weakness of its industrial engine, Germany, which suffered the consequences of high energy costs and lower demand from China. However, southern countries, such as Spain and Italy, showed superior dynamism thanks to tourism and services. Inflation in the region fell more decisively than in the United States, which allowed the European Central Bank to begin rate cuts in June, ahead of the Federal Reserve. Despite the high-rate environment, the European labor market remained resilient, with unemployment rates at historic lows in several countries. Geopolitical uncertainty due to the war in Ukraine continued to weigh on business confidence and defense budgets. The year closed with a slight improvement in growth prospects, supported by the recovery of household purchasing power as wages exceeded inflation for the first time in several years.
JAPAN;11;2024;In 2024, the Bank of Japan is expected to initiate monetary policy normalization, likely exiting yield curve control and raising policy rates from -0.1% to around 0.1%, with potential for one to three hikes. This contrasts with anticipated easing in the US and Europe, where rates may decline by 50-100bps amid recession risks. Japanese 10-year bond yields are projected to rise above 1%, supporting yen appreciation and challenging equity valuations. Japan’s economy is forecast to grow modestly near 0.5%, supported by corporate governance reforms and stable consumer income. Key risks include global growth slowdowns, China deflation, and geopolitical tensions, which could disrupt capital flows. Investors should consider Japan for defensive equity exposure and underweight duration given tightening bias.;The year 2024 marked a historic milestone for the Japanese economy with the definitive end of its negative interest rate policy. In March, the Bank of Japan (BoJ) raised rates for the first time in 17 years, responding to inflation that remained sustainably above the 2% target and robust wage growth. Throughout the year, the BoJ continued with monetary normalization, raising the reference rate to 0.75% in December. This transition caused great volatility in the yen, which after reaching multi-decade lows against the dollar, experienced a strong recovery that shook global 'carry trade' markets in August. The Japanese stock market, the Nikkei 225, reached all-time highs driven by corporate governance reforms and the interest of foreign investors. Despite the rate hike, the economy managed to maintain modest growth, supported by domestic consumption and exports. Japan closed 2024 leaving behind decades of deflation and entering a new era of conventional monetary policy.
UK;12;2024;The UK economy faces a challenging 2024 with growth expected to remain subdued, ranging between 0.5% and 1%, as inflation declines gradually but stays above target. The Bank of England is likely to hold rates near 5.25% through mid-year before initiating around 100 basis points of cuts in late 2024 or early 2025, reflecting slower progress on inflation compared to peers. Inflation is anticipated to ease but not reach the 2% target within the next two years, with services inflation and wage growth remaining resilient. Key risks include a potential recession and external shocks that could delay easing or deepen economic weakness. Investors should consider UK equities for quality and value exposure, balancing defensive sectors against cyclical risks.;The United Kingdom economy in 2024 exceeded stagnation expectations, achieving modest but constant growth. After entering a brief technical recession at the end of 2023, British GDP recovered in the first half of the year, driven by the services sector and an improvement in consumer confidence. Inflation fell significantly from its double-digit peaks, reaching the Bank of England's 2% target in the summer, which allowed the first rate cut in August. The general elections in July resulted in a change of government, with the Labor Party obtaining a large majority, which brought a perception of greater political stability to financial markets. However, the new government faced considerable fiscal challenges, which limited the room for maneuver for economic stimulus. The British bond market (Gilts) remained stable after the volatility of previous years. The year concluded with an economy that, although still facing post-Brexit structural challenges, demonstrated greater solidity than initially predicted by the analyst consensus.
CHINA;13;2024;In 2024, China’s economy is expected to grow between 4.2% and 5%, reflecting a structural slowdown but supported by incremental fiscal stimulus and targeted monetary easing. Inflation is projected to rise modestly to around 1.1%, while consumer sentiment stabilizes amid a deeply depressed property sector and cautious business investment. The outlook remains balanced with downside risks from unresolved debt overhangs, potential deflation, and geopolitical tensions. Valuations in Chinese equities appear attractive, offering selective investment opportunities, particularly in innovative domestic companies. Investors should monitor policy responses closely, as gradual support measures may stabilize growth but are unlikely to trigger a sharp rebound. Diversification across emerging markets remains prudent given ongoing uncertainties.;China faced a complex 2024, marked by the struggle to stabilize its economic growth amid a real estate crisis that was not bottoming out. GDP grew around 4.8%, slightly below the official target of 5%, reflecting the weakness of domestic consumption and deflationary pressures. The central government responded with a series of more aggressive monetary and fiscal stimulus measures towards the end of the year, including rate cuts and direct support to the banking sector to encourage credit. The technology sector and clean energy industries, such as electric vehicles and solar panels, were the main drivers of growth and export, although they faced increasing tariff barriers in the West. Geopolitical tensions with the United States and the European Union persisted, complicating the outlook for foreign direct investment. Despite Beijing's efforts to transform its economic model towards one based on consumption and high technology, dependence on the real estate sector continued to be a major drag. The year closed with a sense of caution about China's ability to regain its previous dynamism.
DOLLAR;14;2024;The US dollar is expected to remain supported in early 2024, buoyed by high US yields near 5% and relative macro resilience, with EURUSD around 1.05 in Q1. However, as the Fed transitions to rate cuts—potentially lowering rates by 50-75bps by year-end—the dollar is likely to soften, potentially depreciating by 5-8% through 2024. Emerging markets stand to benefit from this easing dollar, with select regions like Brazil and Mexico offering attractive opportunities amid stabilization in China. Key risks include geopolitical tensions, a possible global recession, and US fiscal deficits, which could sustain dollar strength or cause volatility. Investors should consider tactical exposure to EM assets and monitor Fed policy closely for entry points.;The US dollar experienced a year of great strength in 2024, defying predictions of a generalized depreciation. During the first half of the year, the 'greenback' was boosted by the resilience of the US economy and the delay in Federal Reserve rate cuts compared to other central banks. The dollar index (DXY) reached high levels, putting pressure on emerging market currencies and making commodity imports more expensive. However, after the start of the Fed's cutting cycle in September, the dollar experienced a temporary moderation, only to rebound strongly after the November presidential elections, in the face of expectations of expansive fiscal policies and trade tariffs. The Japanese yen and the euro were the currencies that suffered the most against the dollar during much of the year. The dollar's status as a safe-haven asset was reinforced by geopolitical tensions in the Middle East. At the close of the year, the dollar remained the dominant currency, reflecting the economic exceptionalism of the United States compared to the rest of the developed world.
FISCAL;15;2024;In 2024, fiscal policy in developed markets will shift from support to modest headwinds amid high debt levels and political uncertainty, particularly with elections in countries representing over 60% of global GDP. The US is expected to run deficits in the trillions for several years, with a 50% probability of recession within one year as fiscal consolidation proves difficult against restrictive monetary policy. European fiscal consolidation contrasts with ongoing US and Chinese fiscal dominance, where China targets around 4.5% growth. Key risks include potential fiscal stimulus from US election campaigns and geopolitical shocks. Investors should position for higher-for-longer bond yields, yield curve steepening, and increased volatility around policy shifts.;Fiscal policy in 2024 became a central topic of debate, especially in developed economies facing historically high debt levels. In the United States, the fiscal deficit remained at high levels despite strong economic growth, which raised concerns about long-term debt sustainability and put upward pressure on bond yields. In Europe, the reactivation of the European Union's fiscal rules forced several countries to initiate consolidation plans, limiting public spending and short-term growth. China, on the contrary, increased its fiscal spending to counteract the weakness of the real estate sector and stimulate domestic demand. Globally, the year was marked by intense electoral activity, where promises of spending and tax cuts influenced market expectations. The interaction between restrictive monetary policy and expansive fiscal policy in some regions created tensions in fixed income markets, increasing the volatility of yield curves. The year concluded with a growing consensus on the need for structural fiscal reforms to address the challenges of an aging population and the energy transition.
ELECTIONS;16;2024;The 2024 election cycle, involving over 40% of global economies and countries representing more than 60% of global GDP, will be a key driver of market volatility. The US presidential election on November 5 remains the focal point, with a divided Congress likely, reducing the chance of sweeping reforms. Fiscal consolidation challenges amid persistent high budget deficits could pressure rates, with bond markets sensitive to potential new stimulus. While short-term volatility and risk premiums may rise, history suggests equity markets often recover in the latter half, offering selective opportunities. Key uncertainties include geopolitical tensions, China’s economic trajectory, and potential election disruptions, warranting a cautious, selective investment approach focused on quality and resilience.;The year 2024 was described as the 'year of elections', with more than half of the world's population going to the polls. The most transcendental event was the presidential election in the United States in November, where Donald Trump's victory caused an immediate reconfiguration of market expectations regarding trade, regulation, and fiscal policy. In the United Kingdom, the Labor Party ended 14 years of conservative government with a crushing victory, while in France, the early legislative elections resulted in a fragmented parliament that generated uncertainty in the Eurozone. In emerging markets, Mexico and India also held key elections that impacted their respective currencies and stock markets. Despite initial fears of instability, financial markets demonstrated a remarkable ability to absorb the electoral results, focusing their attention on the long-term political implications. Political volatility was a constant, but it did not prevent risk assets from having a positive performance. The year closed with a transformed global political landscape, with a shift towards more nationalist and protectionist policies in several of the world's major economies.
